canton,source,url,title,type,depth,parent_url
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:d6da7cdb-9850-4a4f-b0fa-ce51b6dbb3c3/Anleitung%20Musterarbeitsvertrag%20-%20d%20.pdf,Anleitung zum Ausfüllen des Arbeitsvertrages,pdf,2,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung/assistenzbeitrag.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:77fb3763-d977-415a-8a32-62bea31548cd/Abrechnung%20Nachtpauschalen%20Assistenzbeitrag.pdf,Anleitung zur Abrechnung der Nachtpauschalen im Assistenzbeitrag,pdf,2,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung/assistenzbeitrag.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:56b0cf09-a13b-4cd3-81dd-da91b5e57fae/Rechnungsformular_AB_Erkl%C3%A4rung.pdf,Anleitung zum Rechnungsformular Assistenzbeitrag,pdf,2,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung/assistenzbeitrag.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:6223b40e-f933-4a55-88e6-a149f2c15225/Rechnungsformular_AB_FADA_Erkl%C3%A4rung.pdf,Anleitung zum Rechnungsformular Assistenzbeitrag über die Plattform IV-Rechnungen,pdf,2,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung/assistenzbeitrag.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:7e40e5de-8fd7-4792-aaf3-f623e5fb9a5b/Informationen%20zum%20NAV%20Hauswirtschaft_Stand%2001.2026.pdf,Merkblatt NAV Mindestlöhne,pdf,2,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung/assistenzbeitrag.html
BE,be_iv_canton,https://www.ivbe.ch/de/situation/arbeitgeber/uebersicht.html,Arbeitgeber – Übersicht,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/arbeitgeber/formulare.html,Formulare,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/iiz/iiz_uebersicht.html,IIZ Übersicht,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet/strategie_vision.html,Strategie & Vision,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet/unsere_werte.html,Unsere-Werte,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet/geschaeftsleitung_aufsichtsrat.html,Geschäftsleitung & Aufsichtsrat,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:1f664fc7-941e-48aa-8950-5a4cb6d69a60/Organigramm_2026_A3_DE.pdf,Organigramm,pdf,2,https://www.ivbe.ch/de/ueber-uns/portraet/geschaeftsleitung_aufsichtsrat.html
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet/neue_organisationsstruktur.html,Neue-Organisationsstruktur,page,1,https://www.ivbe.ch/
